Intent,Question,Answer
prevention,"I run a higher risk to become severely ill with the coronavirus, what should I do?",Stay home as much as possible. Avoid contact with others outside your family and follow all hygiene measures carefully. It is also better for family members to avoid contacts with other people.
myths and rumours,Am I protected against COVID-19 if I got vaccinated against influenza or pneumococcus this year?,Influenza and the virus that causes COVID-19 are two very different viruses. The seasonal influenza vaccine does not protect against COVID-19. The pneumococcal vaccine does not protect against viral pneumonia.
spread,How does the coronavirus spread?,"The coronavirus spreads from human to human via small droplets that are released when coughing and sneezing. Via these droplets, the virus ends up in the air, on objects and surfaces. Whoever inhales these droplets or gets them through their hands into their mouth, nose or eyes can become infected with the virus. There is no evidence that the contamination occurs through the skin. The risk of infection is reduced by keeping more than a metre away from sick people, touching oneâ€™s face as little as possible and paying attention to good hand hygiene."
prevention,Does it make sense to wear a face mask for protection against the novel coronavirus?,"Wearing face masks to prevent coronavirus infection, only makes sense in hospitals where patients with the coronavirus are treated and in laboratories where specimens of these patients are tested. It is clear that wearing a face mask â€“ even a so-called comfort mask â€“ will also play an important role in the phase-out strategy.
If you want to know more about the usefulness of a mouth mask, please read:https://www.info-coronavirus.be/en/facemask/"
spread,Is there a risk of infection through contact with objects and surfaces?,"This risk exists, but is much smaller than through direct contact with an infected person.
In ideal conditions, the corona virus survives on average around three hours on smooth surfaces and materials (such as door handles, handrails, tables, etc.). On absorbent materials (such as cardboard, paper, textiles, etc.), the virus cannot survive well. The virus is very sensitive to dehydration, heat and sunlight.
Anyone who ingests virus droplets via contact with hands in their mouth, nose or eyes can become infected with the virus. It is important to wash your hands regularly and thoroughly after contact with surfaces and packaging that are touched by many people."
myths and rumours,Will the coronavirus disappear in the spring?,"There is currently no evidence that the coronavirus will slow down or disappear due to spring weather. If we compare with other coronaviruses, it is possible that the new virus will also show a seasonal course, and that spring will slow down the spread due to higher temperatures and UV light. After a few months out of circulation, the virus may come back later. However, it is too early to know the pattern of this virus."
myths and rumours,Can I be contaminated through food?,"To this day, food has not been identified as a probable source or route of transmission of the virus. In addition, coronaviruses are not highly resistant viruses in the environment and are rapidly inactivated when they end up on surfaces. In the current state of knowledge, the likelihood of a consumer becoming contaminated with Covid-19 through food is therefore very low and unproven. Whatever the case, the FASFC reminds professionals that compliance with good hygiene practices is essential and prevents most contaminations:Prepare food separately, especially when handling raw meat,Wash food preparation surfaces, especially those used for raw meat preparations, with soap and hot water,Wash hands with soap and warm water between each handling of food,Cook all raw meat sufficiently (70Â°C through for at least 2 minutes),Avoid preparing food if you are sick."
"children,women,pets",Can pets infect humans if they have been in contact with infected persons?,"The risk of contracting Covid-19 through contact with pets is currently considered negligible, as Covid-19 is mainly transmitted through close contact between humans. Even though Covid-19 is suspected to have originated from wild animals and has since adapted to humans (making it a â€˜humanisedâ€™ virus), until now there is no evidence to suggest that pets pose a risk to humans due to the transmission of Covid-19. That is why we advise you to apply the general rules of hygiene (avoid close contact with your pet, especially if you are sick, wash your hands after touching an animal) if you come into contact with animals that may carry the virus for a brief period of time due to environmental contamination."
symptoms,What symptoms should I look out for?,"If you feel sick, have a cough, a sore throat, breathing difficulties, and have a fever of more than 38 degrees, the coronavirus is one of the viruses you may have contracted. Moreover, if you have recently traveled to one of the countries that have been severely affected by the coronavirus, such as China or Italy, or if you have been in contact with people who have been infected or who have traveled there, you need to be even more vigilant."
prevention and protection,What are the preventive measures against covid?,"Everyone can contribute to the fight against the coronavirus! Some people may be infected with the coronavirus but not show any symptoms, which means they do not know that they can transmit the virus.Anyone can apply the following hygiene measures:Stay at home when you are sick.Very important: wash your hands regularly with soap and water.Sneeze and cough into a paper tissue. Use a new paper tissue every time and dispose of it in a lidded bin.If you have no tissue at hand, cough or sneeze in your elbow.It is safer to keep enough distance in your social interactions to slow down the spread of the virus.Avoid shaking hands or kissing when greeting someone.Watch out for those most at risk: people over 65 years of age, diabetics, people with heart, lung or kidney diseases, children under 6 months of age, pregnant women and people with a weakened immune system.-Children do not get seriously ill from the coronavirus, but they can spread it easily. That is why contact between children and older people should be avoided.Avoid contact with people who are visibly ill, or keep your distance."
prevention and protection,Are there specific measures to be taken/observed in care homes?,"his is very important, as the elderly and people with a chronic disease are more at risk to develop a serious form of coronavirus. Therefore, it is important to pay special attention to them.The legislation on care homes is a competence of the regions. Please consult their recommendations:forÂ Flanders (https://www.vlaanderen.be/gezondheid-en-welzijn/gezondheid/coronavirus-covid-19),forÂ the Walloon Region (https://www.wallonie.be/fr/actualites/coronavirus-covid-19-ce-quil-faut-savoir),forÂ the Brussels-Capital Region (https://coronavirus.brussels/)."
prevention and protection,How should I wash my hands?,"Wash your hands, preferably with warm or lukewarm running water and liquid soap.If you are on the road and cannot wash your hands, touch your face as little as possible and wash your hands on arrival.If you donâ€™t have water, soap and a towel nearby and still want to wash your hands, you can use alcohol gel.You can findinstructions on how to wash hands properlyonline.Source:Your are in good hands(Campaign FPS Health Belgium)"
prevention and protection,What can I do myself?,"Social distancing measures (minimum 1.5 meters between persons) must be maintained in all circumstances, except for persons living under the same roof.  This also includes persons staying in residential facilities, such as small groups of children and young people under the supervision of the youth services, if they live in â€˜family situationâ€™ with supervisors.
A mix of different ages must be strictly avoided; as must a mix of different social groups that previously did not come into contact with each other.
Stay at home as much as possible, only make essential trips (commuting to work when teleworking is impossible, going to the pharmacist, going to the post office, buying food, refuelling, etc.)"
movement,When can I go outside?,"Travel is only allowed in cases of necessity and for urgent reasons, such as for example:â€¢        Professional travel (including commuting);
â€¢        Absolutely necessary travel (doctorâ€™s visit, food purchases, travel to the post office, bank, pharmacy, petrol station or assistance to persons in need, parents travelling to their childrenâ€™s crÃ¨che, all travel in the context of a legal obligation, etc.);
â€¢        Physical activities and walks are encouraged subject to social distancing measures. These activities are permitted for the time necessary to do them. Once these activities are completed, it is compulsory to return home.  In the context of these activities, people must keep moving. For example, it is prohibited to sit down, picnic or sunbathe in parks. Tolerance must be shown towards pregnant women and the elderly. This measure does not have to be strictly applied either to people with reduced mobility or mental disabilities.
â€¢        Only bicycles (including electric bicycles) and non-motorised vehicles can be used for the activities. This restriction does not apply to persons with reduced mobility.
â€¢        Travel by car for recreational activities is not permitted, except for:o        Families with children aged 5 and younger;
o        Persons with reduced mobility (including elderly persons and pregnant women);
o        Supervisors of persons with physical or mental disabilities;All other movements explicitly referred to in this FAQ"
service,Is door-to-door collection of household waste allowed to continue?,"Yes, the various waste collections (residual waste, green waste, paper, glass, cardboard and PMD) can continue, at least if there is sufficient collection staff. Otherwise, priority will be given to the collection of residual waste and organic waste (with the exception of green waste).
The regulations on the collection of household and similar commercial waste can be found on the websites of the regions concerned.
The rules for Flanders can be found at:https://ovam.be/corona-impact#inzameling."
mental health and fitness,Are container parks closed?,The rules for container parks can be found on the websites of the regions concerned.The rules for Flanders can be found at:https://ovam.be/corona-impact#inzameling.The rules for Brussels can be found at:https://www.arp-gan.be/fr/Recypark.html.The rules for Wallonia can be found at:http://environnement.wallonie.be/
gathering,"Do regional, provincial and municipal domains, parks and woodland have to be closed?","The recreational areas of these domains must be closed (e.g. playgrounds, etc.). However, parks and woodland can remain open, subject to social distancing measures. This must be supervised."
service,Are there specific provisions for public toilets and hygiene?,"For reasons of public order and hygiene, we recommend that you leave these open or provide an alternative. The municipality must take the necessary hygienic measures."
service,Which shops can stay open?,"All physical shops and retail outlets are closed, with the exception of:â€¢        food shops, including night shops (open until 10.00pm);
â€¢        pet food shops;
â€¢        pharmacies;
â€¢        newsagents (press shops);
â€¢        petrol stations and fuel suppliers;
â€¢        telecoms shops excluding shops that only sell accessories, but only for emergencies, whereby they can only admit one customer at a time, by appointment;
â€¢        shops for medical aids, but only for emergencies, whereby they can only admit one customer at a time, by appointment;
â€¢        garden centres and tree nurseries that primarily sell plants and/or trees.
â€¢        DIY stores with a general assortment which primarily sell construction tools and/or building materials.
â€¢        Wholesalers intended for professionals, but only for the benefit of the latter.All other stores (clothing stores, tobacconists, stationery stores, perfume stores, drugstores, furniture stores, toy stores, printers, car-washes, baby stores, etc.) are closed but are encouraged to continue their activities by phone or online, if they can guarantee home deliveries. For these shops, delivery and collection of orders within the shop itself is not permitted. Tobacconists and electronic cigarette shops remain closed.All new initiatives such as pop-ups or garage sales are prohibited."
service,What are the specific measures for shops that remain open?,"All shops must take the necessary steps to respect the social distancing measures and in particular to maintain a social distance of 1.5 metres between each person. This measure does not apply to persons living under the same roof, such as parents with their children.
In addition, access to large retail sites must be regulated as follows:â€¢        one person per 10mÂ² for a maximum period of 30 minutes;
â€¢        as far as possible, people must shop alone."
general,Do we need to build up a food supply?,This is unnecessary. Food stores continue to be stocked in a normal way and remain open as usual.
spread,does cash transmit coronavirus?,"Electronic payments are encouraged. Cash money is not infected, but by paying electronically allows you to respect the social distance."
service,What measures are planned to prevent stockpiling?,E-commerce and collection at pick-up points is being encouraged. Exorbitant prices can be reported athttps://meldpunt.belgie.be/meldpunt/en/welcome
service,Do cafes and restaurants remain open?,"CafÃ©s, nightlife and party rooms must close. Restaurants must close their dining rooms. The ban also applies to the terraces of these establishments. Company restaurants must also close. Terrace furniture must be brought in."
service,Are hotels open?,"Hotels and aparthotels are allowed to stay open but WITHOUT ACCESS to the bar, the restaurants (communal areas) and recreational areas, in order to meet the demand for accommodation for essential journeys. However, room service is permitted. Terrace furniture must be brought inside.
The meeting rooms of these hotels are closed."
service,Can I still order parcels online?,"Yes, online shops remain open and can continue to deliver. The delivery of your parcel is contactless."
service,Can home delivery services continue to work?,"Yes, in fact this is encouraged, subject to social distancing measures. Collections from official pick-up points are permitted."
gathering,"Are gatherings, processions, carnivals,  parties allowed?","Private and public activities of a cultural, social, festive, folkloric, sporting and recreational nature are prohibited. One exception to this is individual physical activity outdoors, or activity with family members living under the same roof, or the same friend each time, subject to social distancing measures (distance of 1.5 meters).Physical activities and walks are encouraged subject to social distancing measures. These activities are permitted for the time necessary to do them. Once these activities are completed, it is compulsory to return home. In the context of these activities, people must keep moving. For example, it is prohibited to sit down, picnic or sunbathe in parks.Tolerance must be shown towards pregnant women and the elderly. This measure does not have to be strictly applied either to people with reduced mobility or mental disabilities.
Only bicycles (including electric bicycles) and non-motorised vehicles can be used for the activities. This restriction does not apply to persons with reduced mobility.Travel by car is only permitted for the categories below and only to get some fresh air:Families with children aged 5 and younger;Persons with reduced mobility (including elderly persons and pregnant women);Supervisors of persons with physical or mental disabilities;"
gathering,Are festivals canceled?,All mass events such as festivals cannot be organised before the end of August.
gathering,Do theaters and cinemas stay open?,"Theaters, operas, cinemas and culturalâ€¯centersâ€¯are closed to the public until the May 3 included."
gathering,"Are museums, exhibitions, tourist attractions still accessible?","Museums, exhibitions and tourist attractions are closed to the public until 3 May included. Tourist agencies are also closed."
service,Will sporting activities take place?,"Sports meetings, events, group sports training, with or without an audience, areâ€¯canceledâ€¯until May 3 included."
service,Can I do individual sports or go for a walk?,"Yes, as long as this activity is practised only between family members living under the same roof or always with the same friend, respecting 1.5 metres between each person."
gathering,Can places of worship remain open to the public despite the fact that services are prohibited?,"Yes, religious buildings and premises remain open, subject to social distancing measures. The managers of these buildings are expected to lay down the necessary rules in this regard, and ensure strict compliance."
gathering,What about funerals and cremations?,"Funerals and cremations in the presence of max. 15 persons are allowed, subject to social distancing measures and without exposure of the body."
service,What is the procedure to follow for the treatment of the corpse of a person who died of Covid-19?,"The FPS Public Health has drawn up a procedure for dealing with the body of a person who died of Covid-19. With respect for the wishes of the family, touching the person(s) deceased by Covid-19 is allowed, but it is crucial to comply with the hygiene measures afterwards."
gathering,What about special occasions of worship or religious high days?,"The general rules also apply to special occasions or religious high days: religious gatherings cannot take place in places of worship. Family gatherings are limited to the family members living in the same residence and must take place in that residence. The specific food shops where extra shopping may be bought in this context can remain open according to the applicable rules for food shops. They must ensure that the rules are applied, in particular where a larger number of customers are expected. The mayor will communicate these measures to the parties in question. The police and the mayor will ensure compliance."
movement,Can I go walking or jogging?,"Yes, youâ€™re allowed to get some air. You may only do this with people from your family who live under the same roof or with the same friend. You have to respect the social distance."
movement,Can I still get together with friends?,"No, all gatherings of 2 people or more are forbidden. Only family members living under the same roof can go out together."
movement,Are visits allowed to family members who do not live under the same roof?,"Gatherings of families that do not live under the same roof are not allowed, except to provide assistance and care for vulnerable people (to provide assistance and care for elderly people, for minors, for disabled people and for vulnerable people)."
movement,"Can I travel to my holiday home, for example in the Ardennes or at the coast?
","No, this is not allowed. Firstly, to avoid social mixing (age, people who do not usually visit each other very often), and secondly to prevent regions where health facilities are inadequate to cope with the influx of people from outside the region from becoming overburdened.
An exception can be made for:People who are formally registered in the holiday or weekend residence (regardless of whether they have a right of residence in the weekend or holiday residence), where they are found.People who have a reference address and are not legally registered anywhere else (caravan dwellers, people without their own home due to lack of sufficient means of subsistence).Belgians who legally reside abroad, returned to Belgium, but are not (yet) registered anywhere and are currently dependent on a mobile home or caravan.People registered in Belgium, who are temporarily unable to stay at the place where they are registered due to e.g. renovation works on their own home, a family member in quarantine (this must be proved with a doctorâ€™s certificate to prevent abuse by people with a 2nd residence in a tourist area), etc.Foreign nationals who, prior to the entry into force of the measures, were staying in a recreational area and are demonstrably unable to return to their country, to the extent and for as long as this impossibility lasts. They remain obliged to return as soon as possible to their country of legal residence and/or to the country of their nationality."
service,Is it still possible to use shared cars and shared scooters?,"Yes, these are regarded as means of transport and are therefore not prohibited but limited to 2 persons maximum."
general,Are personal assistants for people with disabilities allowed to continue their activities?,"yes, absolutely."
service,Will public transport continue to run?,"Public transport is still operational, subject to compliance with social distancing measures, such as keeping a distance of 1.5 metres.
Please consult the relevant websites for the available services of transport companies."
service,"Will taxis , cabs continue to run?","Taxis are allowed to transport customers. A minimum distance of 1.5 metres must be maintained between each person. The number of persons that can be transported therefore varies according to the type of vehicle.
A family can travel in the same car, social distancing does not apply here. It is recommended to regularly ventilate and clean the vehicle."
service,What measures have been taken with regard to carpooling? How many people are allowed to travel in a private car?,"As is the case for taxis a minimum distance of 1.5 metres between each person must be respected during transport. The number of persons that can be transported therefore varies according to the type of vehicle. This measure does not apply to a family. It is recommended to ventilate and clean the car regularly. In general, travel should be avoided as much as possible."
service,May tax checks at home continue?,You can find more information about this on the website of the FPS Finance:https://financien.belgium.be/nl/Actueel/coronavirus-uitstel-van-niet-essentiele-controles-ter-plaatse.
service,Are there support possibilities for persons who receive temporary unemployment benefit?,People receiving temporary unemployment benefit can consult the website of the NEO (Dutch and French only):https://www.rva.be/nl/documentatie/infoblad/e1-0raadplegen voor meer informatie.
service,What if you are temporarily unemployed due to COVID-19 and you are no longer able to pay your mortgage or loan?,"Until 30 September 2020, there is the possibility that Belgian nationals in temporary unemployment no longer have to repay loans, and new loans are possible. For more information, please contact your bank."
service,Can a company impose shift work on their employees? ,"Companies and employers must organise their activities in compliance with the exceptional legal requirements resulting from the pandemic. A company can therefore implement a shift system to be able to comply with keeping a distance of 1.5 metres.
The COVID-19 pandemic is considered to be an â€˜occurred accidentâ€™ within the meaning of the Labour Code, and the crossing of labour boundaries is permitted. The hours worked in this context fall under the normal overtime regime. There is no special compensation, but the overtime regime applies."
service,And will those employees be compensated for those different working times?,
service,What are the guidelines for companies where a COVID-19 infection has been identified?,"No specific measures are necessary for disinfecting the area. It is enough to thoroughly clean the office/area where the person works and common areas such as kitchen and toilets, with the usual detergents. General hand hygiene must continue to be encouraged among staff."
service,"Is it possible for employ staff  to meet the high demand from consumers (e.g. filling shelves, clearing stocks, disinfecting shops, etc.)?","The COVID-19 pandemic can be regarded as an occurred accident (and to some extent an imminent accident) within the meaning of the Labour Code of 16 March 1971, which allows working time limits to be exceeded in order to perform work to cope with the situation. Night work and Sunday work is also permitted in this case. Work may be performed outside the normal timetables.
Hours worked in the context of an occurred or imminent accident do fall under the normal overtime regime and entitle the holder to overtime hours (more than 9 hours per day or 40 hours per week or lower CLA limit). In the event of hours worked on Sundays and during the night, however, the extra pay stipulated in the sectoral or company CLAs do apply.
Companies and employees must organise their activities according to the measures taken by the government to tackle COVID-19. These measures are a consequence of the pandemic and are therefore an inherent part of the concept of â€œoccurred accidentâ€. The new organisational needs which are directly linked to the enforcement of these measures or which respond to the consequences of these measures are therefore also triggered by an â€œoccurred accidentâ€. Also in such cases, employers will be able to let their employees work overtime as well as outside the normal timetables."
"child,women,pet",Do schools remain open?,"The measures stipulate that lessons are suspended in all infant, primary and secondary schools, including extra-curricular activities. Canteens can remain open.
Childcare, organised exclusively by internal staff, must be provided at least for children whose parents:â€¢        work in health care and/or the assistance sector;
â€¢        work in an essential public sector;
â€¢        have no option but to have their children looked after by their grandparents, whatever their age.Schools may make new pedagogical material available to students. Travel in this context is permitted. School trips of more than one day are prohibited until 30 June 2020."
"child,women,pet",Can new initiatives to organize the care of children be organized?,"No, only organization already in place can pursue their activities. New initiatives beyond existing contacts are forbidden."
"child,women,pet",Are nurseries open?,"Yes, nurseries and child minders remain open for children up to 3 years old."
"child,women,pet",How can child minders apply social distancing?,The necessary hygienic measures have to be followed but social distancing is difficult with regard to children. Social distancing measures do however have to be strictly observed by parents. It is true that groups of children from the same crÃ¨che are often seen as a uniform whole.
"child,women,pet",What about children of (possibly) infected parents?,"If the parent is suspected of being infected, the children must stay at home. Young children show hardly any symptoms if infected, and only become ill in exceptional cases, although they pass on the disease, which is why it is requested that they are kept at home."
"child,women,pet","Will universities, colleges and other schools be closed?","Universities and colleges can teach classes remotely, with the exception of internships for students who can contribute to health care."
"child,women,pet",What about university students' exams?,This will be determined after a new evaluation of the situation.
"child,women,pet",Will schools for security professions be closed?,"Schools for security professions continue primary education through remote classes, or help the crisis effort by providing training-on-the-job."
prevention and protection,Are special measures taken in hospitals?,"All consultations, tests and planned operations have been cancelled. Only urgent and/or vital consultations, examinations and interventions may take place. Centres for pregnancy terminations remain open and can continue to carry out their psychological and medical interventions.
All essential ongoing therapies (e.g. chemo, dialysis, etc.) may be continued."
general,Are visitors allowed in hospitals?,All visits are prohibited except for parents of children under the age of 18 and relatives of patients in critical or palliative care. Accompaniment to necessary consultations or examinations must be limited to a maximum of one person.
general,Do our hospitals and healthcare services have sufficient room to accommodate a huge number of affected patients?,"Yes, our hospitals are ready. There are two reference hospitals where coronavirus patients can be admitted. If this proves to be insufficient more hospitals will be activated. Yes, our hospitals are prepared. All hospitals in our country know how to treat corona patients in safe conditions. For serious cases, we have two reference hospitals (Sint Pieters Hospital in Brussels and Antwerp University Hospital). If it turns out thereâ€™s not enough capacity, the hospitals may refuse non-urgent patients. If the number of infections keeps growing, the Health Minister can enforce additional measures, such as an interim measure to prevent care workers from taking a holiday."
"child,women,pet","Can I still give birth in the hospital? If so, under what conditions?","Of course, you can still give birth in a hospital. However, your hospital stay should be as short as possible; this will be determined in consultation with your attending physician. Your partner is allowed to be present during the birth and only a visit from your partner is allowed. Family visits are no longer allowed. You also follow the guidelines of the hospital."
general,"Is the transport of blood, blood products and medicines still allowed?","Yes, this falls under essential transport."
prevention and protection,What about non-urgent medical screening and medical interventions?,You can find information from the organising institutions and follow their guidelines.
movement,"Are visits allowed in residential care centres or institutions that, for example, care for disabled persons with co-morbidity?","Essential visits (primary caregivers, â€¦) are allowed in order not to completely isolate residents socially."
mental health and fitness,Are psychologists essential?,Yes.
testing,How are coronavirus patient being tested?,"The samples are provided for two categories of people:All persons whose clinical condition requires hospitalization and whose attending physician suspects COVID-19.Any health professional who meets the definition of â€œpossible caseâ€, and who has a fever.Detailed information concerning the procedure for general practitioners can be found on the Sciensano website:https://epidemio.wiv-isp.be/ID/Pages/2019-nCoV_procedures.aspx."
cure,Can patients with Covid-19 be treated with anti-inflammatory drugs?,"ThisÂ isÂ currentlyÂ beingÂ investigated. InÂ theÂ meantime, paracetamol isÂ theÂ firstÂ choiceÂ of treatmentÂ forÂ feverÂ andÂ pain."
prevention and protection,What is the advice for laundries that clean hospital linen?,"The existing procedures apply to the washing of linen of COVID-19 patients. No specific measures need to be taken, the linen does not have to quarantined."
general,What about care outside the hospital?,"The public is advised to only go to outpatient consultations for urgent and essential care. If it is difficult to make this assessment, they must contact their caregiver. It is up to the care providers to decide what urgent and necessary care is that cannot be postponed."
movement,Are visits to prisons allowed?,"All forms of visit have been cancelled to limit the risk of infection of inmates and staff. This means: visits in the visiting room, child visits, unsupervised visits (undisturbed visits, family visits) and visits behind glass. Persons who have to visit prisons for professional reasons are still admitted to prisons. These are mainly employees of the police, the security and intelligence services and the judicial authorities, lawyers, magistrates and care and assistance workers."
"child,women,pet","My dog or cat is sick, can I still go to the veterinarian?","Yes. Care that can be postponed must be postponed, urgent care may be provided subject to social distancing measures. It is up to the veterinarian to decide what urgent and necessary care is that cannot be postponed."
"child,women,pet",Are animal shelters open?,Animal shelters are closed. Visits are not permitted. No visits are allowed. Adopting and giving up animals is possible by appointment only and subject to social distancing measures. Reception and essential care for animals is crucial and is therefore allowed. Volunteers are also allowed to contribute in this regard.
movement,Are border crossings for medical reasons and other emergency services allowed?,"The general principle is that the emergency services are free to cross the border and are not subject to any form of control.
Urgent medical assistance and vital medical treatments may be continued, but no new treatments may be started.
The personâ€™s own choice of transport can be used, or a specific means of transport (e.g. ambulance, fire truck, etc.).For acute medical assistance on Belgian territory, a declaration of hospitalisation from the receiving hospital is required.
A medical certificate is required for the continuation of vital medical treatment."
service,Can goods transport continue?,"International goods transport is permitted. In addition to the usual documents for goods transport, no additional documents are required."
movement,What rules apply abroad when I am picking up someone?,"It should also be borne in mind that neighbouring countries and other countries may take measures to regulate access to their territory. These measures must be observed and can in principle be consulted in the travel advice sections published on the website of Foreign Affairshttps://diplomatie.belgium.be, as well as by the countries in question on their own official websites."
movement,What about people stuck in a foreign country?,You will find the necessary information on the website of the FPS Foreign Affairs:https://diplomatie.belgium.be/nl.
movement,"What do I need to take into account when travelling abroad? 
","In other countries, the respective national regulations and any additional measures must be respected. You must consult these regulations on the respective websites of the foreign authorities.
In accordance with the regulations in force in the country of destination, the necessary documentation must be prepared before departure.
You must be in possession of an identity document and/or passport and credible evidence to make the essential journey."
movement,What about ferries to neighbouring countries?,"Unlike boats and cruise ships, ferry travel is not regarded as a recreational activity, but as a means of transport. Consequently, ferry crossings are not prohibited in the context of essential travel, subject to social distancing measures."
movement,Are specific measures taken for airports?,"For the time being, there are no restrictive measures for airports. Passengers must observe the social distancing measures and the airport operator must facilitate these."
movement,Will the restaurants and tax-free shops at airports remain open?,"Yes, the restaurants and shops beyond security control remain open. This is with a view to spreading passengers as widely as possible in the airport terminal and subject to social distancing measures."
"child,women,pet",Can I cross the border with my children to take them to the day care centre?,"If teleworking is not possible, and there is no other possibility, it is allowed to cross the border to take the child to the day care centre. This possibility does not apply to childcare provided by family members and friends. It is allowed to cross the border on presentation of the childâ€™s registration in the day care centre."
movement,Can an employee use a digital version of the vignette/employer certificate to cross the border?,"If the employer cannot personally remit the vignette/employerâ€™s certificate to the employee, it must be sent by post. If the employee is summoned for urgent reasons, the vignette/employerâ€™s certificate can be sent digitally by the employer accompanied by a certificate signed by the employer with his/her telephone number and the name of the person summoned."
"child,women,pet",Can a student cross the border to empty his/her student room?,"A student can cross the border for this reason under the following conditions: one journey (back and forth), taking the shortest route, alone or with one person living under the same roof and on presentation of the student card (and/or certificate from the educational institution) and the tenancy agreement/property deed. The rules applicable in the country of destination must be respected at all times. Staying overnight at the student room is strongly discouraged. If an overnight stay is nonetheless necessary, the persons who have made the journey must place themselves in home isolation for 14 days after their return."
movement,Is it still allowed to consult your doctor in a neighbouring country?,"According to the general principle, you should consult a doctor in your own country. If the doctor in possession of your medical file is in a neighbouring country, this doctor must provide you with a signed document (by post or digitally) showing that it is necessary for you to go to their practice. At the border, you will have to present your identity card and this document."
movement,What about co-parenting for children between parents living on both sides of the border?,"Co- parenthood of parents living in the border region (one in Belgium, the other in The Netherlands for example) can continue."
prevention and protection,What rules apply to the persons who intend to pick up these people returning home from the airport?,"Apart from the guidelines that apply to all residents of our country, these persons must remain in home quarantine for 2 weeks. This means that even if they are employed in an essential sector, they are not allowed to go to work. They can only do teleworking."
movement,I booked a flight/a trip to a country concerned by the coronavirus. What will happen if I decide to cancel it?,The FPS Economy has published advice for travellers in your situation. You will find it on their website (https://economie.fgov.be/fr/themes/entreprises/coronavirus/informations-pour-les/pas-encore-parti/coronavirus-annulation-par) (Information only available in French or Dutch).
movement,I am abroad and my return flight has been cancelled as a consequence of the coronavirus. What can I do?,The FPS Economy has published advice for travellers in your situation. You will find it on their website (https://economie.fgov.be/fr/themes/entreprises/coronavirus/informations-pour-les/pas-encore-parti/coronavirus-annulation-par) (Information only available in French or Dutch).
movement,I am abroad and I am not allowed to leave the country because of the coronavirus. What are my rights?,The FPS Economy has published advice for travellers in your situation. You will find it on their website (https://economie.fgov.be/fr/themes/entreprises/coronavirus/informations-pour-les/pas-encore-parti/coronavirus-annulation-par) (Information only available in French or Dutch).
general,When will this end?,"This is a difficult question, because a lot depends on how well the virus is contained."
general,How can I help?,"Charity Navigator, which evaluates charities using a numbers-based system, has a running list of nonprofits working in communities affected by the outbreak. You can give blood through the American Red Cross, and World Central Kitchen has stepped in to distribute meals in major cities. More than 30,000 coronavirus-related GoFundMe fund-raisers have started in the past few weeks. (The sheer number of fund-raisers means more of them are likely to fail to meet their goal, though.)"
prevention and protection,How can I get help?,"This is a fast-moving crisis, and the social, medical and economic fallout is going to affect millions of people for months to come. "
impact of corona,Help me understand the economic fallout.,"Itâ€™s felt a lot like 2008, hasnâ€™t it? Peter S. Goodman, an economics correspondent for The Times, says thereâ€™s a key difference between that economic turmoil and todayâ€™s: the utter unpredictability of the outbreakâ€™s spread. â€œThe disaster feels eerily familiar, with trillions of dollars in wealth annihilated near-daily and deepening fears that businesses will fail,â€ he writes. â€œYet the traditional policy prescriptions seem no match for the affliction at hand.â€"
impact of corona,I heard that Americans were getting checks. Whatâ€™s that about?," With the $2 trillion stimulus legislation passed by Congress on March 27, federal lawmakers agreed to provide $1,200 in direct payments to millions of Americans. How much you receive depends on your income. Single adults with Social Security numbers who have an adjusted gross income of $75,000 or less will get the full amount of $1,200. Married couples with no children earning $150,000 or less will receive a total of $2,400. And taxpayers filing as head of household will get the full payment if they earned $112,500 or less. For every qualifying child age 16 or under, the payment will be an additional $500."
service,I am a small-business owner. Am I eligible for relief from the government?," The stimulus bills enacted in March offer help for the millions of American small businesses. Those eligible for aid are businesses and nonprofit organizations with fewer than 500 workers, including sole proprietorships, independent contractors and freelancers. Some larger companies in some industries are also eligible."
service,How does unemployment insurance work?," The stimulus plan includes a significant expansion of unemployment benefits that would extend jobless insurance by 13 weeks. The program is aimed to help freelancers, part-time workers, furloughed employees and gig workers, such as Uber drivers, as well as full-time employees who have lost their jobs."
service,I am having trouble paying my bills. What can I do?," Student loans The Department of Education has granted a payment waiver of at least 60 days to many people. But itâ€™s not necessarily automatic. In general, you have to call your loan servicer to request a waiver and to make sure that your loan is eligible. The waiver does not apply to private student loans. One big private lender, Sallie Mae, said it is offering suspension of payment for up to three months, with no damage to a borrowerâ€™s credit."
service,I dont have health insurance. What can I do?," If you lost your job (and with it your health insurance), or even if you never signed up for a policy, you may have options. Some states and employers have loosened the rules around when you can sign up for insurance because of the pandemic. "
service,Will I be paid if I am told to stay home?,"A coronavirus emergency relief package, passed by Congress in mid-March, gives qualified workers two weeks of paid sick leave if they are ill, quarantined or seeking a diagnosis or preventive care for the coronavirus, or if they are caring for sick family members. It gives 12 weeks of paid leave to people caring for children whose schools are closed or whose child care provider is unavailable because of the coronavirus."
general,How worried should I be about getting sick?,"Everyone should be concerned about contracting the new coronavirus â€” if not for yourself, then to protect others who are at risk of becoming severely ill. As with the flu, the virus is more dangerous for people who are older than 60, people who have a weakened immune system, and people with an underlying condition, like diabetes, asthma or another chronic illness."
